#
[MAP_WIDTH]
305
[MAP_HEIGHT]
202
[SPRITE_ID_CELLS]
#Map-Boss1-Tiles.png
#256
#235
1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,6,4,4,4,4,4,4,4,4,4,4
4,4,4,5,5,5,4,4,4,4,4,5,4,4,4,4
4,4,4,7,8,9,4,4,4,4,4,6,4,4,4,4
4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
